start-year	end-year	month	tmin	tmax	prcp	wspd	pres	tsun
1961	1990	1			4			15204
1961	1990	2			27			14040
1961	1990	3			28			14268
1961	1990	4			26			14328
1961	1990	5			67			14574
1961	1990	6			209			8442
1961	1990	7			317			6432
1961	1990	8			389			7716
1961	1990	9			241			9048
1961	1990	10			127			13308
1961	1990	11			48			13050
1961	1990	12			9			15300
1971	2000	1			17.9		1015.2	
1971	2000	2			27.3		1012.9	
1971	2000	3			19.1		1009.9	
1971	2000	4			41		1006.8	
1971	2000	5			110.8		1003	
1971	2000	6			209.4		1000	
1971	2000	7			357.8		1000.1	
1971	2000	8			395.7		1001.2	
1971	2000	9			220.7		1004.9	
1971	2000	10			136.4		1009.4	
1971	2000	11			47.1		1013.2	
1971	2000	12			3.2		1015.9	
1981	2010	1	15.3	29.2	15.2		1015.3	12794.1
1981	2010	2	19	32.7	23.5		1012.9	12906.7
1981	2010	3	22.9	35.7	20.2		1009.9	13541.2
1981	2010	4	25.7	37.5	34.6		1006.9	13768.2
1981	2010	5	26.8	37.8	110.6		1002.9	13420
1981	2010	6	26.5	35.2	218.6		999.9	7092.6
1981	2010	7	25.8	32.7	364.1		1000.1	5103.5
1981	2010	8	25.6	32.2	397.1		1001.2	5491.8
1981	2010	9	25.3	32.5	262.1		1004.8	7364.2
1981	2010	10	23.6	32.2	148		1009.5	10534.7
1981	2010	11	19.7	31	37.5		1013.2	11671.6
1981	2010	12	15.5	29.1	4.3		1015.6	12397.1
1991	2020	1	15.4	29.1	15.7		1015.3	11921.7
1991	2020	2	18.8	32.6	23.3		1013.1	12530
1991	2020	3	22.8	35.9	21.4		1010.1	13069.1
1991	2020	4	25.5	37.7	38.1		1007.3	13246.4
1991	2020	5	26.7	37.5	126		1003.2	12644.3
1991	2020	6	26.4	35.3	215.7		1000	6699.1
1991	2020	7	25.6	32.6	363.7		999.9	4854.5
1991	2020	8	25.6	32	378.1		1001.2	5345.2
1991	2020	9	25.2	32.5	282.3		1004.5	6849.6
1991	2020	10	23.5	32.1	180.2		1009.4	10070.4
1991	2020	11	19.6	31	25.5		1013.3	11169.6
1991	2020	12	15.6	29.1	3.5		1015.4	11330.8
